kwic_id;doc_id;doc_token_id;doc_file_name;token_count;hit_size;S1;S2;S3;L20;L19;L18;L17;L16;L15;L14;L13;L12;L11;L10;L9;L8;L7;L6;L5;L4;L3;L2;L1;R0;R1;R2;R3;R4;R5;R6;R7;R8;R9;R10;R11;R12;R13;R14;R15;R16;R17;R18;R19;Annotation;"Brief vor oder nach ""Brief""";
85;0;532802;random_sample_d_prose_clean_text.txt;1288335;1;10;1;1;ein ;krampfhaftes ;Weinen ;aus ;und ;schluchzte: »;Mir ;verzeiht ;er, ;mir ;altem ;Esel! – ;Seinem ;armen ;Kinde ;nicht! … ;O ;Menschenherz!« ;Der ;nächste ;Brief, ;den ;Mansuet ;von ;Božena ;erhielt, ;brachte ;keinen ;Einschluß ;mehr ;von ;Rosa. ;Die ;junge ;Frau ;war ;krank. ;Sie ;hatte ;vor ;Kontext;;
96;0;556989;random_sample_d_prose_clean_text.txt;1288335;1;10;1;1;der ;angeführten ;Namen ;fehlte ;nur ;der ;des ;Professors ;Bauer. ;Von ;diesem ;Getreuen ;erwartete ;sie ;schon ;mit ;der ;morgigen ;Post ;einen ;Brief, ;den ;zu ;beantworten ;sie ;sich ;vornahm. ;Ihr ;letzter ;Gedanke, ;als ;sie ;ihr ;Haupt ;auf ;das ;Kissen ;ihres ;dürftigen ;Lagers ;hypothetischer Brief - erwarteter;;
173;0;862467;random_sample_d_prose_clean_text.txt;1288335;1;9;2;1;in ;den ;Thangkriegen ;für ;neutral ;erklärt ;hatte. ;Von ;dort ;richtete ;er ;schön ;auf ;Seidenpapier ;und ;anmutig ;und ;bilderreich ;stilisiert ;einen ;Brief ;an ;den ;Kaiser ;Thang, ;in ;dem ;er ;mit ;jugendlicher ;Freiheit ;zu ;sagen ;wagte, ;was ;eigentlich ;alle ;dachten, ;aber ;niemand ;Zusammengefasst;;
104;0;575034;random_sample_d_prose_clean_text.txt;1288335;1;9;2;1;Armen, ;und ;dieses ;kleine ;Volk ;kannte ;sie, ;die ;man ;einst ;die ;schöne, ;die ;große ;genannt, ;nur ;als – ;die ;gute ;"Božena.""";Brief ;an ;den ;Vater ;Liebster ;Vater, ;Du ;hast ;mich ;letzthin ;einmal ;gefragt, ;warum ;ich ;behaupte, ;ich ;hätte ;Furcht ;vor ;Dir. ;Brief;danach;
24;0;208651;random_sample_d_prose_clean_text.txt;1288335;1;9;1;1;wird ;schon ;das ;Bärenfell ;verteilt. ;Darum ;tu ;ich, ;was ;ich ;noch ;nie ;gewagt: ;geb' ;einem ;Dienstmann ;auf ;der ;Straße ;einen ;Brief ;an ;Deine ;Adresse. »;Ich ;muß ;Dir ;sagen – ;was ;Du ;höchstwahrscheinlich ;zwar ;schon ;weißt – ;mein ;Mann ;will ;Senator ;werden! ;Meinen ;Brief;danach;
64;0;459798;random_sample_d_prose_clean_text.txt;1288335;1;9;1;1;doch, ;als ;du ;den ;ersten ;Tag ;in ;der ;Schule ;gewesen ;warst ;und ;gerade ;die ;ersten ;Buchstaben ;gelernt ;hattest, ;gleich ;einen ;Brief ;an ;Großmama ;schreiben, ;holtest ;dir ;Briefbogen, ;Tintenfaß, ;Feder ;und ;alles ;zusammen, ;aber ;als ;du ;anfangen ;wolltest ;zu ;schreiben, ;da ;hypothetischer Brief - ungeschgrieben;;
13;0;192261;random_sample_d_prose_clean_text.txt;1288335;1;9;1;1;erinnere! ;Es ;war ;gegen ;Abend ;und ;sehr ;schwül. ;Ich ;saß ;bei ;heruntergelassenen ;Gardinen ;an ;meinem ;Schreibtisch ;und ;hatte ;soeben ;einen ;Brief ;an ;Sonja ;beendet. ;Nun ;griff ;ich ;nachlässig ;nach ;einer ;französischen ;Zeitung, ;einem ;Figaro. ;Ich ;las ;einen ;Wetterbericht, ;dann ;eine ;Kontext;;
14;0;192416;random_sample_d_prose_clean_text.txt;1288335;1;9;1;1;schwarzer ;Fleck, ;vor ;dem ;mir ;graut. ;Als ;ich ;wieder ;zur ;Besinnung ;kam, ;war ;das ;Erste, ;worauf ;mein ;Blick ;fiel, ;mein ;Brief ;an ;Sonja. ;Ich ;brach ;ihn ;auf ;und ;las ;ihn ;zweimal ;langsam ;vom ;Datum ;bis ;zur ;Unterschrift ;durch. ;Dann ;zerriß ;Kontext;;
185;0;1018195;random_sample_d_prose_clean_text.txt;1288335;1;9;1;1;über ;den ;"Rand; ";rote ;Flecken ;erschienen ;auf ;seinen ;bleichen ;"Backen; ";bei ;dem ;zitternden ;Eifer, ;mit ;dem ;er ;im ;Buch ;den ;Brief ;an ;Timotheus ;suchte, ;fielen ;einzelne ;Blätter ;aus ;dem ;Bande, ;vergilbt ;und ;brüchig, ;mit ;halberloschener ;Schrift, ;an ;Kanten ;und ;Ecken ;Objekt;;
95;0;556943;random_sample_d_prose_clean_text.txt;1288335;1;9;1;1;er ;sich ;auf ;seiner ;Zunge ;in ;den ;edelsten ;Johannisberger. ;Regula ;hatte ;den ;Nachmittag ;ihrer ;Korrespondenz ;gewidmet. ;Sie ;schrieb ;einen ;langen ;Brief ;an ;Wenzel ;und ;einen ;nicht ;viel ;kürzeren ;an ;Mansuet. ;Dem ;letzteren ;trug ;sie ;Grüße ;auf ;an ;alle ;ihre ;Bekannten ;Zusammengefasst;;
140;0;743751;random_sample_d_prose_clean_text.txt;1288335;1;9;1;1;Korso ;erwartet.« ;Erstaunlich! – ;Die ;Erde ;beginnt ;zu ;beben ;und ;mein ;Schicksal ;auch, ;dachte ;ich ;für ;mich. ;Ich ;wollte ;zuerst ;den ;Brief ;an ;der ;Kerze, ;die ;mir ;der ;Boy ;zum ;Zigarrenanzünden ;reichte, ;verbrennen, ;besann ;mich ;aber ;und ;steckte ;ihn ;in ;meine ;Objekt;;
30;0;242826;random_sample_d_prose_clean_text.txt;1288335;1;8;2;1;dem ;Essen ;und ;Ball ;des ;Kontors ;sich ;sehen ;zu ;lassen. ;Frühzeitig ;kleidete ;er ;sich ;an, ;denn ;er ;dachte ;noch ;einen ;Brief ;zu ;schreiben, ;den ;Schrötter ;austragen ;sollte, ;ehe ;auch ;er ;sich ;zum ;Fest ;der ;Speicherarbeiter ;begab. ;Als ;er ;in ;seinem ;hypothetischer Brief - ungeschgrieben;;
181;0;924817;random_sample_d_prose_clean_text.txt;1288335;1;8;2;1;Rouleaus ;und ;konnte ;nichts ;"beginnen; ";hatte ;nicht ;die ;Geduld, ;ein ;Buch, ;kaum, ;eine ;Zeitung ;zu ;lesen, ;war ;nicht ;imstande, ;einen ;Brief ;zu ;schreiben, ;tat ;nichts ;als ;Zigaretten ;rauchen, ;eine ;nach ;der ;andern, ;daß ;das ;Zimmer ;ganz ;im ;blaugrauen ;Dunste ;dalag. ;hypothetischer Brief - ungeschgrieben;;
211;0;1275834;random_sample_d_prose_clean_text.txt;1288335;1;8;1;1;der ;furchtbarste ;unter ;all ;dem ;Kummer, ;welchen ;ich ;durchkostete.« ;Ein ;seliges ;Lächeln ;hatte ;Reimars ;ehrliches ;Antlitz ;verklärt, ;als ;er ;diesen ;Brief ;zu ;Ende ;las. ;Ja, ;das ;war ;wieder ;sein ;glücklicher, ;lachender ;Liebling ;von ;ehedem, ;welcher ;diese ;Zeilen ;geschrieben ;hatte, ;und ;Kontext;;
127;0;711743;random_sample_d_prose_clean_text.txt;1288335;1;8;1;1;Dame ;Lust ;hätte, ;mit ;mir ;zum ;Waldfest ;zu ;fahren. ;Sie ;erschien ;am ;Fenster ;und ;sagte, ;sie ;habe ;noch ;rasch ;einen ;Brief ;zu ;"beenden; ";aber ;wenn ;ich ;warten ;könnte, ;würde ;sie ;mitkommen. ;Sie ;kam ;dann, ;und ;ich ;glaubte, ;da ;es ;schönes ;Objekt;;
207;0;1259078;random_sample_d_prose_clean_text.txt;1288335;1;8;1;1;es ;ist ;merkwürdig, ;daß ;alle ;Wetters ;über ;Nacht ;zu ;Charakteren ;werden. ;Da ;wäre ;es ;vielleicht ;gut, ;wenn ;Sie ;ihr ;diesen ;Brief ;zu ;lesen ;gäben! ;Alt ;genug ;ist ;sie ;ja, ;und ;außerdem ;thut';s ;nichts, ;wenn ;sie ;über ;sich ;und ;ihre ;Objekt;;
142;0;744019;random_sample_d_prose_clean_text.txt;1288335;1;8;1;1;Opfer ;haben ;wie ;der ;Atlant«, ;fügte ;die ;Engländerin ;hinzu. – ;Ich ;saß ;am ;Schreibtisch. ;Meine ;Zigarre ;war ;ausgegangen. ;Ich ;hatte ;den ;Brief ;zu ;mir ;gesteckt. ;In ;der ;linken ;Brusttasche ;trug ;ich ;die ;Einladung ;zur ;Mexikanerin, ;in ;der ;rechten ;Brusttasche ;die ;Todesnachricht ;Zusammengefasst;;
52;0;365010;random_sample_d_prose_clean_text.txt;1288335;1;8;1;1;Wolke, ;von ;keinem ;einzigen ;Stern ;erhellt, ;jeden ;Ausblick ;ihm ;hoffnungslos ;zu ;verschließen ;schien. ;Er ;setzte ;sich ;endlich ;und ;begann ;einen ;Brief ;zu ;schreiben ;an ;seine ;arme ;Liebste, ;die ;ihm ;so ;plötzlich ;ihr ;Herz ;abgewendet ;hatte. ;Nicht ;um ;seine ;Schuld ;in ;Kontext;;
123;0;679434;random_sample_d_prose_clean_text.txt;1288335;1;8;1;1;es ;da ;nicht ;sehr ;gut ;von ;mir, ;daß ;ich ;alle ;meine ;Arbeit ;stehen ;und ;liegen ;lasse, ;um ;Ihnen ;einen ;langen ;Brief ;zu ;schreiben? ;Ich ;male ;es ;mir ;ganz ;deutlich ;aus, ;mit ;welcher ;Ungeduld ;Sie ;den ;Postboten ;erwarten, ;mit ;welcher ;Spannung ;Kontext;;
99;0;571374;random_sample_d_prose_clean_text.txt;1288335;1;7;1;1;über ;Haare ;und ;Wangen ;und ;sagte ;mit ;ihrer ;ängstlichen ;und ;hilflosen ;Stimme: »;Nur ;Mut, ;nur ;Mut!« ;Regula ;hatte ;indessen ;den ;Brief ;der ;Baronin ;erhalten ;und ;einen ;zweiten ;Boten ;nach ;der ;Eisenbahnstation ;expediert. ;Er ;war ;der ;Träger ;eines ;Telegrammes, ;das ;an ;Kontext;;
155;0;781200;random_sample_d_prose_clean_text.txt;1288335;1;7;1;1;dem ;Sekretär, ;mit ;dem ;ich ;bekannt ;war, ;im ;eisernen ;Tresor ;der ;Gesandtschaft ;deponiert. ;Höchstens ;ein ;paar ;Briefe ;aus ;Europa, ;den ;Brief ;der ;Engländerin, ;der ;mir ;den ;Selbstmord ;der ;Österreicherin ;aus ;Pouldu ;anzeigte, ;und ;ein ;paar ;Ansichtspostkarten ;konnten ;die ;Herren ;von ;Zusammengefasst;;
208;0;1259669;random_sample_d_prose_clean_text.txt;1288335;1;7;1;1;unklar! ;Günther ;liebte ;sie ;ja ;und ;hielt ;sie ;doch ;für ;arm. ;Das ;war ;mehr ;wert, ;als ;Millionen! ;Sie ;faltete ;den ;Brief ;der ;Freifrau ;zusammen ;und ;brachte ;ihn ;der ;Gräfin ;zurück. »;Nun, ;Josephinchen, ;wirst ;Du ;jetzt ;übermütig ;werden?« ;lächelte ;diese. ;Gänseliesel ;Objekt;;
143;0;746724;random_sample_d_prose_clean_text.txt;1288335;1;7;1;1;ein ;Stelldichein ;mit ;dem ;Leben ;erwartet ;und ;war ;dem ;Tod ;begegnet. ;Gestern, ;als ;mich ;zum ;erstenmal ;wieder ;das ;Leben ;im ;Brief ;der ;Mexikanerin ;zu ;sich ;geladen, ;da ;stellte ;sich ;sofort ;auch ;eine ;Tote ;aus ;Europa ;daneben ;und ;machte ;mich ;todmüde. ;Metapher;;
31;0;243157;random_sample_d_prose_clean_text.txt;1288335;1;7;1;1;starken ;Wunsch ;Erfüllung ;werden ;kann. ;In ;besonderer ;Verehrung ;bin ;ich ;Ihr ;Ihnen ;hochachtungsvoll ;ergebener ;Jakob ;Martin ;Bording.« ;Das ;war ;der ;Brief, ;der ;die ;Entscheidung ;über ;sein ;eigenes ;und ;noch ;ein ;anderes ;Leben ;herbeiführen ;sollte. ;Daß ;die ;Entwicklung ;der ;Dinge ;ihm ;Kontext;;
32;0;243516;random_sample_d_prose_clean_text.txt;1288335;1;7;1;1;daß ;noch ;mal ;im ;Briefkasten ;nachgesehen ;werde. ;Richtig, ;da ;war ;eine ;ganze ;Menge. ;Stadtpostsachen. ;Wohl ;meist ;Glückwunschkarten. ;Und ;noch ;ein ;Brief, ;der ;keine ;Freimarke ;hatte, ;also ;von ;einem ;besonderen ;Boten ;in ;den ;Kasten ;gesteckt ;worden ;war. ;Schrötter ;sah, ;daß ;ein ;Kontext;;
149;0;776121;random_sample_d_prose_clean_text.txt;1288335;1;7;1;1;klug ;gerufen ;hast, ;möge ;dich ;die ;Venus ;drüben ;in ;Europa ;dafür ;bis ;an ;dein ;Lebensende ;segnen! ;Ich ;fühlte ;den ;kühlen ;Brief, ;der ;sich ;in ;meiner ;Hand ;wärmte, ;und ;drückte ;ihn ;leidenschaftlich, ;als ;wäre ;er ;die ;Hand ;der ;Venus. ;Dann ;ging ;Objekt;;
84;0;532631;random_sample_d_prose_clean_text.txt;1288335;1;6;3;1;und ;sogleich!« ;Aber ;der ;Befehl ;reute ;ihn, ;sobald ;er ;gegeben ;war. ;Mit ;einem ;mißtrauischen ;Blick ;nahm ;er ;seinem ;Untergebenen ;den ;Brief ;aus ;der ;Hand ;und ;steckte ;ihn ;zu ;sich. »;Lassen ;Sie';s«, ;sprach ;er, »;ich ;gehe ;ohnehin ;aus – ;komme ;wohl ;Objekt;;
215;0;1279045;random_sample_d_prose_clean_text.txt;1288335;1;6;3;1;man';s, ;wie ;sie ;mit ;mir ;altem ;Manne ;umgehen!« ;scherzte ;er. »;Voilà ;das ;Skriptum ;Hattenheim,« ;fuhr ;Josephine ;heiter ;fort, ;einen ;Brief ;aus ;der ;Kleidertasche ;ziehend, ;um ;ihn ;feierlichst ;zu ;entfalten ;und ;seinen ;Inhalt ;laut ;vorzutragen: »;Mein ;gnädigstes ;Fräulein! ;Da ;haben ;Brief;danach;
209;0;1266819;random_sample_d_prose_clean_text.txt;1288335;1;6;3;1;wenigstens ;nicht ;für ;reich ;genug, ;um ;ein ;Gut, ;wie ;Lehrbach, ;ankaufen ;zu ;können!« ;sagte ;er ;wie ;entschuldigend. ;Josephine ;zog ;einen ;Brief ;aus ;der ;Tasche. »;Lesen ;Sie!« ;Hattenheim ;blickte ;sie ;erst ;betroffen ;und ;unschlüssig ;an, ;dann ;entfaltete ;er ;gehorsam ;das ;Schreiben ;Objekt;;
147;0;776002;random_sample_d_prose_clean_text.txt;1288335;1;6;1;1;con ;carne – ;con ;dulce… ;ehee.« ;Ich ;hörte ;ihr ;noch ;lange ;zu, ;ohne ;mich ;von ;der ;Stelle ;zu ;rühren, ;ohne ;den ;Brief ;aus ;dem ;Grase ;aufzuheben. »;Ehee – –« ;Dann, ;als ;es ;still ;blieb, ;bückte ;ich ;mich, ;pflückte ;eine ;Windenblüte ;und ;ließ ;dabei ;Objekt;;
17;0;198399;random_sample_d_prose_clean_text.txt;1288335;1;6;1;1;Gefühlen ;er ;ihre ;armen ;schwankenden ;Buchstaben ;las, ;wissen ;wir ;nicht, ;wir ;wissen ;nur, ;daß ;er ;ihr ;einen ;langen, ;langen ;unorthographischen ;Brief ;aus ;großen ;Quartblättern ;antwortete, ;so ;einen ;Brief, ;wie ;man ;sie ;damals ;noch ;schrieb, ;als ;der ;Postverkehr ;schwierig ;und ;der ;Kontext;;
27;0;223654;random_sample_d_prose_clean_text.txt;1288335;1;6;1;1;Aussprüche. ;Während ;seine ;Tochter ;ihm ;das ;brennende ;Zündholz ;hinhielt, ;sagte ;er: »;Laß ;noch, ;Kind – ;und ;sieh ;da!« ;Er ;nahm ;einen ;Brief ;aus ;seiner ;Brusttasche. ;Sich ;seiner ;Veranlagung ;zur ;Unschlüssigkeit ;wohl ;bewußt, ;hatte ;er ;den ;Ausweg ;gefunden, ;seiner ;Frau ;Dinge ;zu ;Kontext;;
94;0;543022;random_sample_d_prose_clean_text.txt;1288335;1;6;2;1;um ;ihm ;für ;die ;Teilnahme ;zu ;danken, ;die ;er ;ihr ;bei ;Gelegenheit ;des ;Todes ;ihrer ;unvergeßlichen ;Mutter ;ausgesprochen ;hatte. ;Ihr ;Brief ;war ;mit ;all ;der ;Zurückhaltung ;verfaßt, ;die ;höchste ;Wohlerzogenheit ;einer ;jungen ;Dame ;einem ;jungen ;Herrn ;gegenüber ;"auferlegt; ";der ;Stil ;Kontext;;
75;0;531224;random_sample_d_prose_clean_text.txt;1288335;1;6;2;1;konnte ;auf ;den ;Gemütszustand ;ihres ;Mannes ;schädlich ;wirken. ;Sie ;fühlte ;die ;Verpflichtung, ;sich ;mit ;seinem ;Inhalt ;bekannt ;zu ;machen. ;Der ;Brief ;war ;mit ;dem ;Herzblut ;des ;Kindes ;geschrieben ;und ;manche ;Träne ;war ;auf ;ihn ;gefallen. ;Nannette ;ist ;so ;ergriffen ;und ;Kontext;;
158;0;795733;random_sample_d_prose_clean_text.txt;1288335;1;6;1;1;vor, ;die ;mich ;bat, ;nach ;Tlalpam ;zu ;kommen: ;sie ;hätte ;eine ;große ;Sehnsucht, ;mit ;mir ;von ;Orla ;zu ;sprechen. ;Der ;Brief ;war ;aber ;schon ;sehr ;alt ;und ;hatte ;von ;meiner ;alten ;Wohnung ;an ;der ;Glorieta ;den ;Weg ;durchs ;Polizeibureau ;genommen ;Kontext;;
131;0;716247;random_sample_d_prose_clean_text.txt;1288335;1;6;1;1;Kerze ;anzündete, ;da ;fand ;ich ;einen ;Brief ;und ;ein ;Telegramm ;auf ;dem ;Tisch, ;die ;ich ;vorher ;nicht ;bemerkt ;hatte. ;Der ;Brief ;war ;eine ;längst ;ersehnte ;Antwort ;und ;das ;Telegramm ;gleichfalls: ;ich ;sollte ;als ;Abgesandter ;einer ;geographischen ;Gesellschaft ;eine ;Reise ;nach ;Zusammengefasst;;
21;0;208277;random_sample_d_prose_clean_text.txt;1288335;1;6;1;1;ein ;Brief! ;Das ;hatte ;er ;keinen ;Augenblick ;vergessen – ;keinen, ;bei ;all ;den ;Gesprächen ;mit ;Georg ;Burmeester. ;Das ;Wissen ;von ;diesem ;Brief ;war ;immer ;in ;ihm ;gewesen, ;auch ;während ;er ;so ;in ;schwerem ;Grübeln ;stand. ;Denn ;er ;las ;es ;in ;Schrötters ;Kontext;;
214;0;1278940;random_sample_d_prose_clean_text.txt;1288335;1;6;1;1;entweder ;Alles ;an ;die ;Josephine ;schreiben, ;was ;ich ;will, ;oder ;gar ;nichts.« ;Josephine ;schlug ;ganz ;erschrocken ;die ;Augen ;nieder. »;Der ;Brief ;war ;von ;Herrn ;von ;Hattenheim!« ;sagte ;sie ;schnell. »;So? ;Und ;was ;will ;denn ;unser ;braver ;Reimar?« ;Halb ;unschlüssig ;blickte ;Kontext;;
82;0;532181;random_sample_d_prose_clean_text.txt;1288335;1;3;1;1;nicht ;in ;die ;Notwendigkeit ;versetzen, ;mich ;mit ;Schimpf ;und ;Schande ;aus ;dem ;Hause ;zu ;jagen. ;Und ;hier« – ;er ;legte ;einen ;Brief ;auf ;den ;Stempelbogen – »;ein ;heut ;morgens ;eingelangtes, ;an ;meinen ;Herrn ;Prinzipal ;durch ;mich ;zu ;übermittelndes ;Schreiben.« ;Heißenstein ;sah ;abwechselnd ;Kontext;;
22;0;208398;random_sample_d_prose_clean_text.txt;1288335;1;3;1;1;des ;Fensters, ;nach ;dem ;Kirchenplatz ;zu, ;stand ;der ;große ;Diplomatenschreibtisch. ;Da ;lag, ;sehr ;hell ;im ;blassen ;Lila ;seines ;Papiers, ;der ;Brief ;auf ;der ;dunkelbraunen ;Tuchplatte. ;Er ;lag ;so, ;daß ;die ;Aufschrift ;nach ;unten ;gekehrt ;war ;und ;das ;Siegel ;von ;dunklem ;Objekt;;
66;0;479575;random_sample_d_prose_clean_text.txt;1288335;1;3;1;1;schon ;gelernt ;hatte, ;und ;wenn ;Tinte ;und ;Papier ;da ;waren, ;was ;ich ;auch ;nicht ;weiß. ;Aber ;wie ;sollte ;denn ;der ;Brief ;auf ;die ;andere ;Insel ;rüberkommen? ;Ursula: ;Na, ;durch ;die ;Post. ;Johannes: ;Um ;Himmels ;willen, ;Schwesterchen, ;du ;glaubst ;doch ;nicht, ;Objekt;;
170;0;852090;random_sample_d_prose_clean_text.txt;1288335;1;3;1;1;Hand. »;Der ;Herr ;Kurfürst ;wünschen?« ;Der ;Kurfürst ;packte ;seinen ;Degenknauf, ;der ;ein ;bäuerliches ;Liebespaar ;in ;Umarmung ;darstellte. »;Er ;hat ;meinen ;Brief ;dem ;Herrn ;Hauptmann ;nicht ;übergeben?« »;Welchen ;Brief?« »;Den ;ich ;ihm ;vor ;sieben ;Tagen ;einhändigte?« ;Bracke ;besann ;sich. »;Der ;Herr ;Objekt;;
126;0;706804;random_sample_d_prose_clean_text.txt;1288335;1;3;1;1;für ;die ;Dame ;einen ;Brief, ;den ;sie ;aus ;dem ;Lodenmantel ;zog, ;in ;den ;Dorfbriefkasten ;werfen. ;Ich ;bot ;mich ;an, ;den ;Brief ;dem ;Kutscher ;auf ;den ;Bock ;zu ;reichen, ;wurde ;aber ;von ;zwei ;mißtrauischen ;jungen ;Mädchenaugen ;leicht ;dankend ;abgewiesen ;und ;zog ;Objekt;;
3;0;141900;random_sample_d_prose_clean_text.txt;1288335;1;3;1;1;sagte ;er ;dann ;plötzlich, ;setzte ;sich ;an ;einen ;Tisch ;und ;schrieb. »;Ihr ;Wunsch ;ist ;erfüllt!« ;Er ;klingelte ;und ;übergab ;den ;Brief ;dem ;eintretenden ;Diener ;zur ;Besorgung ;in ;das ;Dorf. »;Der ;Arzt ;wird ;in ;spätestens ;ein, ;zwei ;Stunden ;hier ;oben ;sein. ;Brief;davor;
50;0;304982;random_sample_d_prose_clean_text.txt;1288335;1;3;2;1;Rasch ;machte ;er ;sich ;auf ;den ;Weg ;und ;hatte ;bald ;gefunden, ;was ;er ;brauchte. ;Nach ;kaum ;zehn ;Minuten ;war ;der ;Brief ;nach ;dem ;Haff ;unterwegs. ;Um ;sechs ;Uhr ;hatte ;er ;Anna ;in ;die ;Bucht ;an ;der ;Mole ;bestellt. ;Vom ;Kirchturm ;Zusammengefasst;;
144;0;748514;random_sample_d_prose_clean_text.txt;1288335;1;3;2;1;die ;Luft ;liebeslüstern ;und ;verführerisch ;durchzog. ;Ich ;nahm ;der ;Dame ;endlich ;die ;Lampe ;sanft ;aus ;der ;Hand ;und ;beleuchtete ;einen ;Brief ;nach ;dem ;andern, ;und ;als ;der ;Lampenstrahl ;nicht ;mehr ;die ;nackten ;Brüste ;des ;schönen ;Weibes ;beschien, ;wurde ;ich ;sachlich ;Kontext;;
179;0;921272;random_sample_d_prose_clean_text.txt;1288335;1;3;1;1;auf ;einmal ;vollzählig ;da. ;Sie ;nahmen ;Beschlag ;von ;allem, ;was ;da ;war, ;und ;eines ;Tages ;kam ;von ;der ;Liese ;ein ;Brief ;nach ;Hause, ;worin ;sie ;ihren ;Vater ;bat, ;er ;möge ;ihr ;ein ;Reisegeld ;schicken, ;damit ;sie ;so ;bald ;als ;möglich ;Zusammengefasst;;
55;0;374094;random_sample_d_prose_clean_text.txt;1288335;1;2;1;1;zumal ;seit ;er ;zum ;Professor ;ernannt ;worden ;war ;und ;seine ;Vorlesungen ;vorzubereiten ;hatte. ;Da ;erhielt ;er ;eines ;Tages ;einen ;schwarzumränderten ;Brief. ;Auf ;dem ;Stempel ;stand ;Santa ;Margherita, ;die ;Handschrift ;war ;Crones. ;Sie ;schrieb: »;Lieber ;Freund! »;Ich ;muß ;Ihnen ;mitteilen, ;daß ;Brief;danach;
200;0;1135475;random_sample_d_prose_clean_text.txt;1288335;1;2;1;1;Tasso ;und ;was ;halt ;so ;zur ;italienischen ;Sprache ;gehört. ;An ;seine ;Tochter ;Irene ;schrieb ;er ;an ;diesem ;Abend ;einen ;kurzen ;Brief. »;Auf ;meinem ;Schiffe, ;das ;nach ;Ägypten ;fährt, ;sind ;zwei ;Söhne ;des ;verstorbenen ;Geheimrats ;Bruckner, ;Herr ;Referendar ;Richard ;Bruckner ;und ;Brief;danach;
134;0;741240;random_sample_d_prose_clean_text.txt;1288335;1;2;1;1;daß ;meine ;freie ;Zeit ;mir ;täglich ;nur ;zu ;einer ;knappen ;Reitstunde ;reichte. ;Da ;erhielt ;ich ;eines ;Morgens ;im ;Bett ;einen ;Brief. ;Die ;blonde ;Dame ;schrieb, ;ich ;möchte ;nicht ;mehr ;mit ;ihrem ;Mann ;von ;der ;Abreise ;sprechen. ;Sie ;fühle ;sich ;allmählich ;Zusammengefasst;;
141;0;743949;random_sample_d_prose_clean_text.txt;1288335;1;2;1;1;und ;nach ;der ;Österreicherin, ;erkundigt ;hatte. »… ;und ;außerdem ;habe ;ich ;Ihnen ;noch ;eine ;recht ;traurige ;Nachricht ;mitzuteilen«, ;so ;schloß ;der ;Brief. »;Die ;Österreicherin, ;die ;uns ;allen ;so ;rätselhaft ;erschien, ;ist ;nicht ;mehr ;unter ;den ;Lebenden. ;Sie ;hat ;sich ;in ;Paris ;Brief;davor;
43;0;280562;random_sample_d_prose_clean_text.txt;1288335;1;2;1;1;sie ;ließ ;den ;Brief ;sinken. »;Was ;ist ;geschehen – ;was?« »;Ich ;würde ;es ;dir ;völlig, ;für ;immer ;verschwiegen ;haben. ;Aber ;dieser ;Brief …« ;Er ;räusperte ;sich ;etwas. »;Ja, ;also … ;deine ;Mutter ;war ;heut ;bei ;mir ;im ;Kontor – ;es ;schien, ;als ;wolle ;sie ;Kontext;;
54;0;373728;random_sample_d_prose_clean_text.txt;1288335;1;2;1;1;zu ;zerstreuen, ;wenn ;es ;Nacht ;würde ;und ;er ;nicht ;zurückkehrte. ;Am ;nächsten ;Morgen ;schrieb ;er ;ihr ;einen ;langen ;traurig-;herzlichen ;Brief. ;Er ;sei ;entschlossen, ;sie ;nie ;wiederzusehen ;und ;den ;Seehof ;nie ;mehr ;zu ;betreten. ;Er ;dankte ;ihr ;für ;alle ;Liebe, ;Zusammengefasst;;
47;0;304352;random_sample_d_prose_clean_text.txt;1288335;1;2;1;1;daß ;der ;Aufseher ;erschreckt ;vor ;ihm ;zurückfuhr. ;Wahrhaftig ;wie ;ein ;Verurteilter, ;nicht ;wie ;ein ;Freigesprochener ;sah ;der ;Mann ;aus. »;Ein ;Brief, ;Herr ;Lehrer. ;Ein ;Junge ;aus ;Ihrem ;Dorf ;hat ;ihn ;gebracht.« ;Ein ;Schimmer ;von ;Farbe ;stieg ;in ;Hans ;Hagens ;bleiches ;Kontext;;
195;0;1118767;random_sample_d_prose_clean_text.txt;1288335;1;2;1;1;wohl ;aus ;"Stolz; ";meine ;Versuche, ;helfend ;einzugreifen, ;wurden ;höflich, ;aber ;bestimmt ;"zurückgewiesen; ";von ;ihrem ;Tode ;erfuhr ;ich ;erst ;durch ;Ihren ;Brief.« »;Herr ;Präsident, ;ich ;bitte ;um ;nichts ;mehr ;als ;um ;die ;Beantwortung ;von ;zwei ;Fragen.« »;Nun?« »;Die ;erste ;Frage ;ist: ;Kontext;;
109;0;591270;random_sample_d_prose_clean_text.txt;1288335;1;2;1;1;Verhältnisses ;Neues ;beiträgt, ;leugne ;ich ;nicht. ;So ;können ;natürlich ;die ;Dinge ;in ;Wirklichkeit ;nicht ;aneinanderpassen, ;wie ;die ;Beweise ;in ;meinem ;Brief, ;das ;Leben ;ist ;mehr ;als ;ein ;"Geduldspiel; ";aber ;mit ;der ;Korrektur, ;die ;sich ;durch ;diesen ;Einwurf ;ergibt, ;einer ;Korrektur, ;Kontext;;
